Formula,Source,ID,space group,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,ν,wcc
SrCu(SeO3)2,ICSD,202389,C2/c (15),1,20,138,2,0,0.001,0.987,(1;011),0
SrC2(SN)2,ICSD,94427,C2/c (15),1,14,80,1,3.9047,3.934,0,(0;000),0
Sr(C2N3)2,ICSD,411363,C2/c (15),1,22,112,1,4.6628,4.672,0,(0;000),0
SrC2,ICSD,91051,C2/c (15),1,6,36,1,2.457,2.716,0,(0;000),0
SrC2,COD,1522127,C2/c (15),1,6,36,1,2.457,2.716,0,(0;000),0
Sr(As3Pt2)2,ICSD,62518,C2/c (15),1,22,160,3,0.2122,0.304,0,(0;000),0
SrAl4O7,COD,9007445,C2/c (15),1,24,128,3,3.7973,3.797,0,(0;000),0
Sr3(SiAs2)2,COD,1528461,C2/c (15),1,18,116,1,0.8782,0.878,0,(0;000),0
Sr3(GaP2)2,ICSD,423782,C2/c (15),1,18,152,2,1.0762,1.174,0,(0;000),0
Sr3(GaAs2)2,ICSD,423785,C2/c (15),1,18,152,2,0.6984,0.809,0,(0;000),0
Sr3(BS3)2,COD,1510829,C2/c (15),1,22,144,1,2.2685,2.29,0,(0;000),0
Sr3(AlP2)2,ICSD,409134,C2/c (15),1,18,112,2,1.3308,1.331,0,(0;000),0
Sr3(AlAs2)2,ICSD,423787,C2/c (15),1,18,112,2,1.1469,1.148,0,(0;000),0
Sr2VN3,ICSD,80176,C2/c (15),1,24,192,1,1.6347,1.643,0,(0;000),0
Sr2TaN3,COD,1531138,C2/c (15),1,24,192,1,2.5714,2.602,0,(0;000),0
Sr2NbN3,ICSD,51028,C2/c (15),1,24,192,1,2.2167,2.254,0,(0;000),0
Sr2LiFe2N3,ICSD,71059,C2/c (15),1,16,108,1,0,0.008,0.228,(1;000),0
Sr2InPt2,ICSD,391433,C2/c (15),1,10,106,3,0,0,0.376,(0;101),0
Sr2InPd2,ICSD,391432,C2/c (15),1,10,138,3,0,0,0.527,(0;011),0
SnF2,COD,1523455,C2/c (15),1,24,224,3,3.1191,3.119,0,(0;000),0
Sn(CO2)2,ICSD,150101,C2/c (15),1,14,92,3,2.598,2.613,0,(0;000),0
S(IO3)2,ICSD,6220,C2/c (15),1,18,112,2,1.8407,1.938,0,(0;000),0
SiO2,ICSD,75654,C2/c (15),1,12,64,3,5.8229,5.859,0,(0;000),0
SiO2,COD,9006292,C2/c (15),1,12,64,3,5.7175,5.979,0,(0;000),0
SiO2,COD,9006291,C2/c (15),1,12,64,3,5.825,5.862,0,(0;000),0
SiO2,COD,9007164,C2/c (15),1,24,128,3,6.0378,6.278,0,(0;000),0
SiO2,COD,4124068,C2/c (15),1,24,128,3,0,0.007,0.258,(1;000),0
SeS2(NO)2,ICSD,69978,C2/c (15),1,14,80,1,1.8532,1.897,0,(0;000),0
SeN,COD,2310337,C2/c (15),1,16,88,1,1.9008,1.974,0,(0;000),0
Se,ICSD,659254,C2/c (15),1,2,12,3,0,0.23,0.511,(0;110),0
Sc4OsCl4,ICSD,421532,C2/c (15),1,18,176,3,0.5396,0.584,0,(0;000),0
SbPO5,COD,1530584,C2/c (15),1,14,80,3,3.0941,3.094,0,(0;000),0
SbO2,COD,9005378,C2/c (15),1,12,68,3,0,2.618,1,(0;000),0
SbBr5F6,ICSD,69056,C2/c (15),1,24,164,3,1.5153,1.546,0,(0;000),0
Sb2Te3,ICSD,185954,C2/c (15),1,10,56,3,0,0.036,0.559,(1;110),0
Sb2O5,COD,9011205,C2/c (15),1,14,80,3,0.9086,0.925,0,(0;000),0
S5N6,COD,1529768,C2/c (15),1,22,120,1,2.2357,2.285,0,(0;000),0
S5N5Cl,ICSD,62528,C2/c (15),1,22,124,1,1.4462,1.448,0,(0;000),0
S3(NO)2,COD,7221393,C2/c (15),1,14,80,1,1.241,1.348,0,(0;000),0
S3(NO)2,COD,7221380,C2/c (15),1,14,80,1,1.5897,1.717,0,(0;000),0
S,COD,9012364,C2/c (15),1,20,120,1,1.9556,2.174,0,(0;000),0
RuO4,ICSD,415306,C2/c (15),1,10,80,1,2.4051,2.469,0,(0;000),0
Re2SbO6,ICSD,51023,C2/c (15),1,18,142,3,7.6296,0,1,(0;000),0
Re2BiO6,ICSD,181425,C2/c (15),1,18,162,3,0,0,0.476,(1;100),0
RbTe6,ICSD,74837,C2/c (15),1,14,90,2,0,0,0.955,(1;101),0
RbSbO2,ICSD,411216,C2/c (15),1,8,52,1,2.2136,2.222,0,(0;000),0
RbNaTiO3,ICSD,78753,C2/c (15),1,12,96,1,3.7013,3.738,0,(0;000),0
RbLiF2,COD,4343819,C2/c (15),1,16,104,1,6.05,6.068,0,(0;000),0
RbFeSe2,ICSD,633210,C2/c (15),1,8,58,1,0,0,0.372,(1;011),0
RbFeS2,COD,1008342,C2/c (15),1,8,58,1,0,0,0.27,(1;101),0
RbCrCl3,ICSD,56837,C2/c (15),1,20,176,1,0,0.002,0.533,(0;000),0
RbBiO2,ICSD,407208,C2/c (15),1,8,72,1,2.0422,2.042,0,(0;000),0
RbAuCl4,COD,8103425,C2/c (15),1,12,96,1,2.0009,2.007,0,(0;000),0
Rb4Fe2O5,ICSD,154291,C2/c (15),1,22,164,1,0,0.004,0.266,(0;000),0
Rb3BP2,COD,8103471,C2/c (15),1,12,80,1,1.6726,2.002,0,(0;000),0
Rb3BAs2,ICSD,402082,C2/c (15),1,12,80,1,1.3651,1.757,0,(0;000),0
Rb2Zn3O4,ICSD,40754,C2/c (15),1,18,156,3,1.5657,1.566,0,(0;000),0
Rb2Sn2Se5,ICSD,80766,C2/c (15),1,18,152,3,1.1176,1.242,0,(0;000),0
Rb2Mo(SO)2,ICSD,423992,C2/c (15),1,14,112,1,2.2015,2.383,0,(0;000),0
Rb2Mn3O4,ICSD,425217,C2/c (15),1,18,174,3,0,0,0.43,(0;101),0
Rb2Cr2O7,COD,1527737,C2/c (15),1,22,176,1,2.8743,2.9,0,(0;000),0
Rb2B2Se7,COD,1510813,C2/c (15),1,22,132,2,1.852,1.932,0,(0;000),0
Rb2Ag2GeS4,ICSD,237456,C2/c (15),1,18,136,1,2.0937,2.162,0,(0;000),0
PtI3,ICSD,47120,C2/c (15),1,16,124,3,0.302,0.302,0,(0;000),0
PtCI2O,ICSD,68098,C2/c (15),1,20,136,2,1.6393,1.719,0,(0;000),0
PS,COD,2106562,C2/c (15),1,16,88,1,1.9547,2.002,0,(0;000),0
PO2,ICSD,42777,C2/c (15),1,24,136,1,4.3291,4.408,0,(0;000),0
PdSO4,ICSD,79559,C2/c (15),1,12,96,3,1.1467,1.229,0,(0;000),0
PdSeO4,ICSD,416646,C2/c (15),1,12,96,3,1.2734,1.404,0,(0;000),0
Pd(SeCl3)2,ICSD,39435,C2/c (15),1,18,144,1,1.6214,1.627,0,(0;000),0
PdSe2O5,COD,4333284,C2/c (15),1,16,120,2,1.0614,1.064,0,(0;000),0
PdBr2,ICSD,27443,C2/c (15),1,6,64,1,0.509,0.945,0,(0;000),0
PbCl4,COD,9007926,C2/c (15),1,10,84,1,2.1044,2.104,0,(0;000),0
PbC2(SN)2,ICSD,143,C2/c (15),1,14,88,1,2.2153,2.282,0,(0;000),0
Pb2S(O2F)2,COD,9001320,C2/c (15),1,18,144,3,3.3582,3.404,0,(0;000),0
P3N5,ICSD,56876,C2/c (15),1,16,80,3,3.7067,4.005,0,(0;000),0
P2Pt5,ICSD,24327,C2/c (15),1,14,120,3,0,0.057,0.437,(0;110),0
P2Pd2O7,ICSD,415239,C2/c (15),1,22,176,3,0.9739,1,0,(0;000),0
P2Pd,ICSD,166275,C2/c (15),1,6,56,3,0,0.287,0.015,(0;000),1
OsO4,ICSD,23803,C2/c (15),1,10,80,1,3.023,3.06,0,(0;000),0
NiP2,ICSD,27160,C2/c (15),1,6,40,3,0.5384,0.618,0,(0;000),0
NiP2,COD,1526196,C2/c (15),1,6,40,3,0.5308,0.614,0,(0;000),0
NiH2SO5,COD,9009372,C2/c (15),1,18,96,3,0,0.012,0.578,(0;000),0
NiH2SeO5,ICSD,39886,C2/c (15),1,18,96,3,0,0.008,0.725,(0;000),0
Ni(BO2)2,COD,1510786,C2/c (15),1,14,80,3,0,0.007,0.476,(1;000),0
Ni4B3,ICSD,150561,C2/c (15),1,14,98,3,0,0,0.801,(0;100),0
Ni4B3,COD,1510942,C2/c (15),1,14,98,3,0,0,0.809,(1;101),0
