Formula,Source,ID,space group,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,ν,wcc
TeOF2,COD,1521091,P2_1 (4),0,16,104,3,3.8393,3.841,0,(0;000),0
TeH2NF5,ICSD,171449,P2_1 (4),0,18,96,1,3.0378,3.109,0,(0;000),0
Te2O5,ICSD,191342,P2_1 (4),0,14,84,3,1.4685,1.47,0,(0;000),0
Te,ICSD,87272,P2_1 (4),0,4,24,3,0,0.115,0.587,NaN,0
TaFeTe3,COD,2002027,P2_1 (4),0,10,78,3,0,0.001,0.821,NaN,0
SiO2,ICSD,154321,P2_1 (4),0,12,64,1,0,0.002,0.694,NaN,0
RbCS(OF)3,ICSD,415817,P2_1 (4),0,18,116,1,5.2115,5.219,0,(0;000),0
Rb2FeI4,ICSD,8010,P2_1 (4),0,14,108,1,0,0.004,0.045,(0;000),1
PI3,ICSD,311,P2_1 (4),0,8,52,1,1.8955,1.899,0,(0;000),0
P4S5,ICSD,16681,P2_1 (4),0,18,100,1,2.3253,2.383,0,(0;000),0
NaVPO5,COD,1001468,P2_1 (4),0,16,114,2,0,0.001,0.648,NaN,0
NaV(OF)2,COD,1000373,P2_1 (4),0,12,96,1,2.0236,2.57,0,(0;000),0
NaSb(PS3)2,ICSD,155270,P2_1 (4),0,20,120,2,1.9131,2.022,0,(0;000),0
NaCaSiHO4,ICSD,97911,P2_1 (4),0,16,96,2,4.5756,4.578,0,(0;000),0
Na3FeF6,COD,1530372,P2_1 (4),0,20,154,1,0,0,0.753,NaN,0
MoO2,ICSD,108875,P2_1 (4),0,6,52,3,0,0.114,0.261,(0;100),1
LiMoIO6,ICSD,156006,P2_1 (4),0,18,120,2,2.2705,2.378,0,(0;000),0
LiH3IN,ICSD,55064,P2_1 (4),0,12,36,1,3.8239,3.825,0,(0;000),0
Li2SO5,COD,9014347,P2_1 (4),0,16,84,1,0,0.003,0.343,(0;100),1
Li2H2SO5,COD,1008190,P2_1 (4),0,20,88,1,5.8538,5.854,0,(0;000),0
Li2H2SeO5,COD,2201760,P2_1 (4),0,20,88,1,4.7043,4.704,0,(0;000),0
Li2H2SeO5,ICSD,413060,P2_1 (4),0,20,88,1,4.6429,4.68,0,(0;000),0
KYSiS4,ICSD,602576,P2_1 (4),0,14,96,1,2.8007,2.819,0,(0;000),0
KYGeS4,ICSD,603205,P2_1 (4),0,14,96,1,2.3292,2.482,0,(0;000),0
KTeOF3,ICSD,201155,P2_1 (4),0,12,84,1,1.8951,2.024,0,(0;000),0
KTeHOF4,ICSD,155199,P2_1 (4),0,16,100,1,4.8867,5.105,0,(0;000),0
KSb(PSe3)2,ICSD,90152,P2_1 (4),0,20,120,3,1.769,1.795,0,(0;000),0
KSb(PS3)2,COD,8100520,P2_1 (4),0,20,120,2,2.212,2.233,0,(0;000),0
KLiSi2O5,COD,2101610,P2_1 (4),0,18,100,3,4.9846,5.054,0,(0;000),0
KFeCl4,COD,4030153,P2_1 (4),0,24,180,1,0,0.001,0.784,NaN,0
KCu4AsS4,ICSD,75430,P2_1 (4),0,20,164,3,1.3981,1.462,0,(0;000),0
KBi(PSe3)2,ICSD,90153,P2_1 (4),0,20,140,3,1.2488,1.327,0,(0;000),0
KBi(PS3)2,COD,8100356,P2_1 (4),0,20,140,2,1.6544,1.819,0,(0;000),0
KAlCl4,COD,1004038,P2_1 (4),0,24,160,1,5.4874,5.504,0,(0;000),0
InBiS3,ICSD,290195,P2_1 (4),0,10,72,3,0.8716,1.031,0,(0;000),0
HS2N(O2F)2,ICSD,165234,P2_1 (4),0,20,112,1,6.6299,6.731,0,(0;000),0
Hg(IO3)2,COD,7222313,P2_1 (4),0,18,124,3,2.7773,2.779,0,(0;000),0
Hg(CO2)2,ICSD,151138,P2_1 (4),0,14,88,3,2.7964,2.862,0,(0;000),0
H5C4N3,COD,2015716,P2_1 (4),0,24,72,1,4.7935,4.813,0,(0;000),0
H5C2NO2,COD,2201044,P2_1 (4),0,20,60,1,5.21,5.309,0,(0;000),0
H5C2N2Cl,COD,7203167,P2_1 (4),0,20,60,1,4.3968,4.4,0,(0;000),0
H3AuC2NCl,ICSD,152108,P2_1 (4),0,16,68,1,3.3571,3.585,0,(0;000),0
H2CClF,COD,2013049,P2_1 (4),0,10,40,1,6.0043,6.037,0,(0;000),0
H2C2O,COD,7054719,P2_1 (4),0,20,64,1,3.8651,3.865,0,(0;000),0
H2C2O,COD,7054718,P2_1 (4),0,20,64,1,3.8994,3.899,0,(0;000),0
GePb3O5,COD,9008276,P2_1 (4),0,18,152,3,2.1034,2.107,0,(0;000),0
Cu(IO3)2,ICSD,4327,P2_1 (4),0,18,122,3,0,0.001,0.526,NaN,0
CsCS(OF)3,ICSD,415056,P2_1 (4),0,18,116,1,5.319,5.319,0,(0;000),0
Cs2HgI4,COD,1526210,P2_1 (4),0,14,116,1,1.8375,1.838,0,(0;000),0
Cr(ClO)2,ICSD,416750,P2_1 (4),0,10,80,1,0,2.337,1,NaN,0
CoAsS,ICSD,36395,P2_1 (4),0,6,40,3,0,0.596,0.136,(0;000),1
Ca(GePt)2,ICSD,619327,P2_1 (4),0,10,76,3,0,0.126,0.862,(0;000),1
CaGaH4,ICSD,240695,P2_1 (4),0,12,54,1,0,0.001,0.416,NaN,0
CaCuO2,ICSD,84868,P2_1 (4),0,16,132,3,0,0.029,0.279,NaN,0
BiPO4,ICSD,27469,P2_1 (4),0,12,68,3,2.0944,2.399,0,(0;000),0
BiI3,ICSD,187608,P2_1 (4),0,8,52,3,0,0.431,0.407,(0;000),1
BH2C2NF4,COD,4300536,P2_1 (4),0,20,92,1,6.197,6.204,0,(0;000),0
BaSn2(HO2)2,ICSD,37115,P2_1 (4),0,18,128,1,1.9107,2.108,0,(0;000),0
BaGaH5,ICSD,240693,P2_1 (4),0,14,56,1,3.2526,3.526,0,(0;000),0
BaCa(CO3)2,COD,1010917,P2_1 (4),0,20,128,2,2.6308,2.662,0,(0;000),0
BaCa(CO3)2,COD,5910095,P2_1 (4),0,20,128,1,2.2809,2.293,0,(0;000),0
AuBrF6,COD,1510611,P2_1 (4),0,16,120,1,2.0362,2.037,0,(0;000),0
AsS2,ICSD,424590,P2_1 (4),0,24,136,2,1.2111,1.211,0,(0;000),0
As2O3,COD,4513294,P2_1 (4),0,20,112,3,2.5456,2.777,0,(0;000),0
AlPO4,ICSD,280772,P2_1 (4),0,12,64,3,5.6811,5.681,0,(0;000),0
AlPO4,ICSD,280773,P2_1 (4),0,12,64,3,5.6822,5.682,0,(0;000),0
AlPO4,ICSD,417474,P2_1 (4),0,12,64,3,5.6739,5.674,0,(0;000),0
AlPO4,ICSD,417475,P2_1 (4),0,12,64,3,5.6317,5.634,0,(0;000),0
AlICl6,ICSD,26510,P2_1 (4),0,16,104,2,2.2808,2.316,0,(0;000),0
Ag2S,ICSD,98453,P2_1 (4),0,6,56,1,0,0.113,0.106,(1;000),1
Ag2H2IOF,ICSD,32660,P2_1 (4),0,14,88,3,1.2016,1.282,0,(0;000),0
ZrO2,COD,1010912,P2_1/c (14),1,12,64,3,2.3876,2.459,0,(0;000),0
ZrO2,COD,1522143,P2_1/c (14),1,12,64,3,3.4213,3.421,0,(0;000),0
ZrF4,COD,2019609,P2_1/c (14),1,20,128,3,5.2782,5.321,0,(0;000),0
ZnP2,ICSD,43334,P2_1/c (14),1,24,176,3,0,0.007,0.068,(1;001),0
ZnP2,ICSD,250015,P2_1/c (14),1,24,176,3,0.7599,0.76,0,(0;000),0
Zn(H3C)2,ICSD,262113,P2_1/c (14),1,18,52,2,4.5024,4.572,0,(0;000),0
Zn(CO2)2,ICSD,109665,P2_1/c (14),1,14,88,3,2.3536,2.354,0,(0;000),0
Zn(AuF4)2,COD,1510406,P2_1/c (14),1,22,180,3,1.8997,1.965,0,(0;000),0
ZnAs2,ICSD,2021,P2_1/c (14),1,24,176,3,0.2561,0.256,0,(0;000),0
YS2NO6,COD,2100265,P2_1/c (14),1,20,128,3,0,0.013,0.544,(1;000),0
YO2,COD,1528091,P2_1/c (14),1,12,92,3,0,0.003,0.446,(0;010),0
YAsS,ICSD,611344,P2_1/c (14),1,12,88,3,0.157,0.176,0,(0;000),0
Y4C7,ICSD,86049,P2_1/c (14),1,22,144,3,0,0.012,0.192,(1;010),0
Y2Si4Mo3,ICSD,76379,P2_1/c (14),1,18,160,3,0,0.164,0.131,(1;000),0
Y2Si2O7,ICSD,164147,P2_1/c (14),1,22,144,3,5.0552,5.102,0,(0;000),0
Y2Si2O7,ICSD,28212,P2_1/c (14),1,22,144,3,4.0515,4.052,0,(0;000),0
Y2S2O,COD,4030480,P2_1/c (14),1,20,160,3,2.5291,2.592,0,(0;000),0
Y2MnNiO6,ICSD,160728,P2_1/c (14),1,20,166,3,0,0,0.82,(0;101),0
Y2MnCrO6,ICSD,188476,P2_1/c (14),1,20,174,3,0,0,0.84,(1;101),0
Y2MnCoO6,ICSD,188982,P2_1/c (14),1,20,180,3,0,0.028,0.093,(0;000),0
WSBr4,COD,1527306,P2_1/c (14),1,24,248,1,1.1089,1.179,0,(0;000),0
VTeO4,COD,1530411,P2_1/c (14),1,24,172,3,0,0.019,0.92,(1;000),0
VOF3,COD,4339753,P2_1/c (14),1,20,160,2,3.4086,3.433,0,(0;000),0
VO2,COD,9009089,P2_1/c (14),1,12,100,3,0,0.009,0.453,(0;000),0
VF4,ICSD,65785,P2_1/c (14),1,10,82,2,0,0,0.558,(0;000),0
TlSbF4,COD,1530522,P2_1/c (14),1,24,184,1,0,3.54,1,(0;000),0
TlGaI4,ICSD,419824,P2_1/c (14),1,24,216,1,2.4465,2.523,0,(0;000),0
TlCO2,COD,4308986,P2_1/c (14),1,16,116,2,2.5146,2.589,0,(0;000),0
TlBS3,COD,1511322,P2_1/c (14),1,20,136,1,1.5675,1.727,0,(0;000),0
Tl3AgTe2,COD,7209352,P2_1/c (14),1,24,248,3,0,0.007,1,(0;001),0
Tl2TeI6,ICSD,99128,P2_1/c (14),1,18,148,3,1.2944,1.353,0,(0;000),0
TiVO4,COD,9000828,P2_1/c (14),1,24,196,3,0,0.011,0.263,(0;010),0
TiO2,COD,9015355,P2_1/c (14),1,12,96,3,1.2133,1.213,0,(0;000),0
TiCl4,COD,9007929,P2_1/c (14),1,20,160,1,3.374,3.414,0,(0;000),0
TiBr4,ICSD,22103,P2_1/c (14),1,20,160,1,2.4494,2.474,0,(0;000),0
Ti(AlCl4)2,ICSD,35154,P2_1/c (14),1,22,148,2,0,0.008,0.011,(0;000),0
TeAuI,COD,1510182,P2_1/c (14),1,12,96,2,0.8628,1.046,0,(0;000),0
TeAsRu,ICSD,611299,P2_1/c (14),1,12,108,3,0.9106,1.175,0,(0;000),0
Te3Cl2,COD,1522083,P2_1/c (14),1,20,128,3,1.2807,1.345,0,(0;000),0
TcO3F,COD,4339756,P2_1/c (14),1,20,160,2,5.8584,0.037,1,(0;000),0
TcO2,COD,4124108,P2_1/c (14),1,12,108,3,0,0.019,1,(0;000),0
TaNO,COD,1525454,P2_1/c (14),1,12,96,3,1.9538,2.162,0,(0;000),0
TaCoTe2,ICSD,73738,P2_1/c (14),1,16,168,2,0,0,0.235,(0;000),0
SrTeO3,ICSD,182023,P2_1/c (14),1,20,136,1,3.4504,3.491,0,(0;000),0
SrSiN2,COD,4343851,P2_1/c (14),1,16,96,1,2.9169,3.06,0,(0;000),0
SrSeO4,COD,9014342,P2_1/c (14),1,24,160,1,4.1668,4.182,0,(0;000),0
SrPSe3,ICSD,412766,P2_1/c (14),1,20,132,1,2.2293,2.229,0,(0;000),0
SrPS3,ICSD,405191,P2_1/c (14),1,20,132,1,3.1418,3.142,0,(0;000),0
SrBiO3,COD,1008815,P2_1/c (14),1,20,172,3,0.4344,1.142,0,(0;000),0
SrBeF4,ICSD,404396,P2_1/c (14),1,24,168,1,7.6882,7.69,0,(0;000),0
Sr(AsPt)2,ICSD,418156,P2_1/c (14),1,20,160,3,0,0.001,0.827,(0;111),0
Sr2ZnWO6,ICSD,190595,P2_1/c (14),1,20,164,3,2.9052,3.041,0,(0;000),0
Sr2ZnReO6,ICSD,173492,P2_1/c (14),1,20,166,3,0,0,0.78,(0;101),0
Sr2YTaO6,COD,2100266,P2_1/c (14),1,20,160,3,3.9094,3.944,0,(0;000),0
Sr2YSbO6,ICSD,154033,P2_1/c (14),1,20,144,3,4.0722,4.086,0,(0;000),0
Sr2YRuO6,ICSD,49500,P2_1/c (14),1,20,166,3,0,0,0.798,(0;101),0
Sr2YIrO6,ICSD,88154,P2_1/c (14),1,20,168,3,0,0.013,0.129,(0;000),0
Sr2TaInO6,ICSD,188417,P2_1/c (14),1,20,164,3,4.2964,4.316,0,(0;000),0
Sr2TaFeO6,ICSD,172591,P2_1/c (14),1,20,154,3,0,0,0.97,(0;010),0
Sr2ScSbO6,ICSD,262994,P2_1/c (14),1,20,144,3,3.7678,3.771,0,(0;000),0
Sr2ScIrO6,ICSD,88152,P2_1/c (14),1,20,168,3,0,0.241,0.069,(0;000),0
Sr2NbInO6,ICSD,99696,P2_1/c (14),1,20,164,3,3.8346,3.882,0,(0;000),0
Sr2MnWO6,ICSD,97745,P2_1/c (14),1,20,170,3,0,0,0.966,(0;101),0
Sr2MnMoO6,ICSD,187668,P2_1/c (14),1,20,170,3,0,0,0.979,(0;101),0
Sr2InSbO6,ICSD,154032,P2_1/c (14),1,20,148,3,2.0189,2.019,0,(0;000),0
Sr2FeWO6,ICSD,153430,P2_1/c (14),1,20,156,3,0.4533,0.457,0,(0;000),0
Sr2CoWO6,ICSD,97662,P2_1/c (14),1,20,174,3,0,0,0.979,(0;010),0
Sr2CoTeO6,ICSD,153002,P2_1/c (14),1,20,158,3,0,0,0.898,(0;101),0
Sr2CoReO6,ICSD,173491,P2_1/c (14),1,20,176,3,0,0.035,0.475,(0;000),0
Sr2CaWO6,COD,2104688,P2_1/c (14),1,20,160,1,3.3236,3.434,0,(0;000),0
Sr2CaTeO6,ICSD,414435,P2_1/c (14),1,20,144,1,3.6612,3.716,0,(0;000),0
Sr2CaReO6,ICSD,182568,P2_1/c (14),1,20,162,1,0,0,0.974,(0;010),0
Sr2CaIrO6,ICSD,79451,P2_1/c (14),1,20,166,2,0,0,0.77,(0;010),0
SO3,COD,9010982,P2_1/c (14),1,16,96,1,5.8568,5.878,0,(0;000),0
Sn(SeO3)2,ICSD,154717,P2_1/c (14),1,18,124,3,3.5691,3.902,0,(0;000),0
SnPSe3,ICSD,655564,P2_1/c (14),1,20,148,3,1.3154,1.357,0,(0;000),0
SnPS3,ICSD,72835,P2_1/c (14),1,20,148,3,1.6984,1.832,0,(0;000),0
SNO4,COD,9008019,P2_1/c (14),1,24,140,1,0,0.006,0.322,(0;000),0
SnGeS3,COD,9005509,P2_1/c (14),1,20,144,3,1.3882,1.61,0,(0;000),0
SnCl4,ICSD,411242,P2_1/c (14),1,20,168,1,3.5749,3.575,0,(0;000),0
SnCl2,ICSD,81979,P2_1/c (14),1,24,224,3,0.7863,1.125,0,(0;000),0
SnBr4,ICSD,51570,P2_1/c (14),1,20,168,1,2.8007,2.801,0,(0;000),0
Sn3F8,ICSD,61162,P2_1/c (14),1,22,196,3,3.6323,3.667,0,(0;000),0
Sn2P2O7,COD,4000543,P2_1/c (14),1,22,160,3,2.4732,2.493,0,(0;000),0
SN,ICSD,41967,P2_1/c (14),1,8,44,1,0,0.008,0.092,(0;010),0
SN,ICSD,37353,P2_1/c (14),1,8,44,1,2.8674,3.081,0,(0;000),0
SN,ICSD,165332,P2_1/c (14),1,8,44,1,0,0.007,0.559,(0;000),0
SiRh,ICSD,653588,P2_1/c (14),1,8,84,3,0,0.703,0.033,(0;000),1
SiP2O7,ICSD,423437,P2_1/c (14),1,20,112,3,5.4719,5.472,0,(0;000),0
SiO2,COD,9009238,P2_1/c (14),1,18,96,3,5.5754,5.575,0,(0;000),0
SiO2,COD,9016225,P2_1/c (14),1,24,128,3,5.7736,5.777,0,(0;000),0
SiH4,ICSD,159307,P2_1/c (14),1,20,32,2,2.7828,2.791,0,(0;000),0
SiH3I,ICSD,65044,P2_1/c (14),1,20,56,1,3.9747,4.155,0,(0;000),0
SiH3F,ICSD,60065,P2_1/c (14),1,20,56,1,6.3681,6.415,0,(0;000),0
SiCl4,ICSD,62279,P2_1/c (14),1,20,128,1,5.7206,5.794,0,(0;000),0
SiBr4,COD,2105707,P2_1/c (14),1,20,128,1,4.2129,4.288,0,(0;000),0
SiAg2S3,ICSD,180764,P2_1/c (14),1,24,176,3,1.3432,1.508,0,(0;000),0
SeCl,ICSD,37018,P2_1/c (14),1,16,104,1,2.1612,2.199,0,(0;000),0
SeBr,ICSD,37017,P2_1/c (14),1,16,104,1,1.7231,1.861,0,(0;000),0
Se2NCl3,ICSD,84030,P2_1/c (14),1,24,152,1,0.7486,0.749,0,(0;000),0
Sc(ReO3)2,ICSD,245796,P2_1/c (14),1,18,154,3,0,0,0.679,(0;110),0
ScOF,COD,1525435,P2_1/c (14),1,12,96,3,1.0872,1.093,0,(0;000),0
ScOF,ICSD,100564,P2_1/c (14),1,12,96,3,4.571,4.696,0,(0;000),0
ScMnO3,ICSD,251022,P2_1/c (14),1,20,176,3,0,0.006,0.283,(0;000),0
SCl2O,ICSD,62971,P2_1/c (14),1,16,104,1,3.7451,3.758,0,(0;000),0
SbTeRu,ICSD,650595,P2_1/c (14),1,12,108,3,0.3289,0.592,0,(0;000),0
SbTeOs,ICSD,647762,P2_1/c (14),1,12,108,3,0.5002,0.83,0,(0;000),0
SbRuSe,ICSD,650594,P2_1/c (14),1,12,108,3,0.2839,0.513,0,(0;000),0
SbRuS,ICSD,650583,P2_1/c (14),1,12,108,3,0.1583,0.444,0,(0;000),0
SbOsSe,ICSD,647759,P2_1/c (14),1,12,108,3,0.548,0.761,0,(0;000),0
SbOsS,ICSD,647751,P2_1/c (14),1,12,108,3,0.4054,0.748,0,(0;000),0
SbO3,COD,9014718,P2_1/c (14),1,16,92,3,0,0.015,0.301,(1;000),0
SbI3,ICSD,30906,P2_1/c (14),1,16,104,1,2.0113,2.049,0,(0;000),0
SbAsO3,COD,9015432,P2_1/c (14),1,20,112,2,0,3.554,1,(0;000),0
Sb2Rh,ICSD,43501,P2_1/c (14),1,12,108,3,0,0.15,0.034,(0;000),0
Sb2Ir,ICSD,42620,P2_1/c (14),1,12,108,3,0.5983,0.849,0,(0;000),0
RuOF4,ICSD,417249,P2_1/c (14),1,24,200,3,0.4136,0.428,0,(0;000),0
RuF4,ICSD,165398,P2_1/c (14),1,10,88,2,0,0.078,0.066,(0;000),0
ReO2F3,ICSD,415421,P2_1/c (14),1,24,192,1,3.5528,3.553,0,(0;000),0
ReO2,ICSD,647349,P2_1/c (14),1,12,108,3,0,0.045,0.36,(1;010),0
ReHgO4,ICSD,74885,P2_1/c (14),1,24,204,3,3.022,3.022,0,(0;000),0
ReClO3,ICSD,416751,P2_1/c (14),1,20,160,1,3.6638,3.734,0,(0;000),0
Re2Si,ICSD,57480,P2_1/c (14),1,24,272,3,0,0.021,0.505,(0;000),0
RbSb,COD,2011948,P2_1/c (14),1,16,112,1,0.7509,0.763,0,(0;000),0
RbPO3,COD,2310557,P2_1/c (14),1,20,128,1,5.46,5.46,0,(0;000),0
RbO3,ICSD,6094,P2_1/c (14),1,16,108,1,0,0.001,0.21,(1;101),0
RbMnF4,ICSD,73587,P2_1/c (14),1,24,208,1,0,0.008,0.119,(0;000),0
RbBSe3,COD,1511307,P2_1/c (14),1,20,120,1,1.6861,1.918,0,(0;000),0
RbBS3,COD,1511306,P2_1/c (14),1,20,120,1,2.3694,2.627,0,(0;000),0
RbBeH3,COD,4343941,P2_1/c (14),1,20,64,1,3.2803,3.28,0,(0;000),0
RbAuBr4,COD,8103439,P2_1/c (14),1,12,96,1,1.5384,1.564,0,(0;000),0
Rb3CuO2,ICSD,65446,P2_1/c (14),1,24,200,3,1.4636,1.467,0,(0;000),0
Rb2ZrTe3,ICSD,410735,P2_1/c (14),1,24,160,1,0.4805,0.481,0,(0;000),0
Rb2W2O7,ICSD,300230,P2_1/c (14),1,22,232,2,2.8846,3.271,0,(0;000),0
Rb2CO3,COD,1527330,P2_1/c (14),1,24,160,1,3.6921,3.692,0,(0;000),0
Pt(SCl4)2,ICSD,66012,P2_1/c (14),1,22,156,1,1.8649,1.874,0,(0;000),0
PtI2,ICSD,60760,P2_1/c (14),1,12,96,2,1.0407,1.064,0,(0;000),0
Pt5Se4,COD,9012387,P2_1/c (14),1,18,148,3,0,0.012,0.257,(0;101),0
PRuSe,ICSD,648028,P2_1/c (14),1,12,108,3,0.5164,0.893,0,(0;000),0
PRuS,ICSD,648023,P2_1/c (14),1,12,108,3,0.5007,0.858,0,(0;000),0
PPbSe3,ICSD,62230,P2_1/c (14),1,20,148,3,1.4514,1.517,0,(0;000),0
PPbS3,ICSD,647906,P2_1/c (14),1,20,148,3,1.9505,1.962,0,(0;000),0
PPb,ICSD,40162,P2_1/c (14),1,16,152,1,0,0.008,0.483,(0;111),0
POsSe,ICSD,647716,P2_1/c (14),1,12,108,3,0.762,1.054,0,(0;000),0
POsS,ICSD,647714,P2_1/c (14),1,12,108,3,0.8312,1.1,0,(0;000),0
PHSF2,ICSD,63001,P2_1/c (14),1,20,104,1,4.5103,4.51,0,(0;000),0
PHF4,ICSD,406358,P2_1/c (14),1,24,136,1,8.0586,8.095,0,(0;000),0
Pd(Se3Cl)2,ICSD,405207,P2_1/c (14),1,18,136,1,1.0887,1.107,0,(0;000),0
Pd(PbCl3)2,ICSD,78873,P2_1/c (14),1,18,176,3,1.4312,1.53,0,(0;000),0
Pd(PbBr3)2,ICSD,78874,P2_1/c (14),1,18,176,3,1.2748,1.375,0,(0;000),0
Pd(NO3)2,ICSD,425998,P2_1/c (14),1,18,128,2,1.5489,1.549,0,(0;000),0
PdI2,ICSD,25120,P2_1/c (14),1,12,128,2,0.7254,0.743,0,(0;000),0
PdCl2,ICSD,421221,P2_1/c (14),1,6,64,2,0.6974,1.132,0,(0;000),0
Pd7Se2,ICSD,65052,P2_1/c (14),1,18,276,3,0,0.02,0.383,(1;010),0
PCl2OF,ICSD,416167,P2_1/c (14),1,20,128,1,5.5247,5.615,0,(0;000),0
PbWO4,COD,9007617,P2_1/c (14),1,24,264,3,2.4216,2.447,0,(0;000),0
PbSeO4,COD,9014223,P2_1/c (14),1,24,176,3,3.3853,3.505,0,(0;000),0
Pb(SeO3)2,ICSD,154718,P2_1/c (14),1,18,124,3,1.9558,2.355,0,(0;000),0
PbCl2,ICSD,81978,P2_1/c (14),1,24,224,3,0.8128,0.848,0,(0;000),0
Pb2O3,ICSD,23760,P2_1/c (14),1,20,184,3,1.3282,1.397,0,(0;000),0
PAuCl4,COD,1510095,P2_1/c (14),1,24,176,1,2.4563,2.502,0,(0;000),0
P4Ru,ICSD,648018,P2_1/c (14),1,10,72,3,0.7523,0.752,0,(0;000),0
P4Os,ICSD,647708,P2_1/c (14),1,10,72,3,1.1626,1.319,0,(0;000),0
P2Rh,ICSD,42615,P2_1/c (14),1,12,108,3,0.6698,0.67,0,(0;000),0
P2Ir,ICSD,174222,P2_1/c (14),1,12,108,3,0.7499,1.526,0,(0;000),0
OsOF4,ICSD,417246,P2_1/c (14),1,24,200,1,0.67,0.67,0,(0;000),0
OsO3F2,ICSD,73732,P2_1/c (14),1,24,192,1,2.2427,2.305,0,(0;000),0
OsCl4O,ICSD,417247,P2_1/c (14),1,24,200,1,0.926,0.942,0,(0;000),0
Os,ICSD,27568,P2_1/c (14),1,8,128,1,0,0.001,0.042,(1;001),0
NO2,ICSD,28331,P2_1/c (14),1,12,68,1,2.5717,2.624,0,(0;000),0
NO,ICSD,27871,P2_1/c (14),1,8,44,1,0,0.002,0.048,(0;010),1
Ni(CO2)2,ICSD,190774,P2_1/c (14),1,14,84,3,0,0.03,0.252,(0;000),0
Ni(AuF4)2,COD,1510404,P2_1/c (14),1,22,176,3,0,0.022,0.147,(0;000),0
Ni2P2O7,COD,1007247,P2_1/c (14),1,22,144,3,0,0.006,0.562,(1;010),0
NbNO,COD,1525453,P2_1/c (14),1,12,96,3,1.5582,1.705,0,(0;000),0
NbI5,ICSD,25503,P2_1/c (14),1,24,192,1,0,0.045,0.106,(0;000),0
NbCl5,ICSD,66537,P2_1/c (14),1,24,192,3,2.3549,2.36,0,(0;000),0
NaVF4,ICSD,407013,P2_1/c (14),1,24,200,2,0,0.001,0.48,(1;000),0
NaSr2IO6,ICSD,425447,P2_1/c (14),1,20,144,3,2.1609,2.225,0,(0;000),0
NaSbF4,COD,1530041,P2_1/c (14),1,24,168,1,4.4558,4.56,0,(0;000),0
NaSbF4,ICSD,24750,P2_1/c (14),1,24,168,2,4.2647,4.267,0,(0;000),0
NaSb,COD,9008950,P2_1/c (14),1,16,112,1,0.6112,0.614,0,(0;000),0
NaPb2IO6,ICSD,428081,P2_1/c (14),1,20,160,3,1.8412,1.841,0,(0;000),0
NaNO,ICSD,66978,P2_1/c (14),1,24,160,1,3.4734,3.473,0,(0;000),0
NaMnF4,COD,1008528,P2_1/c (14),1,12,104,2,0,0.014,0.033,(0;000),0
NaInI4,ICSD,65463,P2_1/c (14),1,24,200,1,2.2385,2.239,0,(0;000),0
NaFeF4,COD,1527271,P2_1/c (14),1,24,180,2,0,0.003,0.391,(0;000),0
NaCrF4,ICSD,37108,P2_1/c (14),1,24,204,2,0,0.004,0.262,(1;111),0
Na(CO)2,ICSD,154355,P2_1/c (14),1,20,116,1,2.5928,2.593,0,(0;000),0
NaCO2,COD,8103690,P2_1/c (14),1,16,100,1,2.5411,2.613,0,(0;000),0
NaClO3,COD,1001127,P2_1/c (14),1,20,136,1,4.8842,4.976,0,(0;000),0
NaCa2IO6,ICSD,425448,P2_1/c (14),1,20,144,1,2.4371,2.611,0,(0;000),0
NaAuSe2,COD,1510244,P2_1/c (14),1,16,128,2,0.9668,1.097,0,(0;000),0
NaAsS2,COD,8103561,P2_1/c (14),1,16,104,1,1.4835,1.565,0,(0;000),0
NaAs,ICSD,182159,P2_1/c (14),1,16,112,1,0.8758,0.946,0,(0;000),0
Na3YCl6,COD,9007973,P2_1/c (14),1,20,160,1,5.2619,5.281,0,(0;000),0
Na3YBr6,ICSD,82355,P2_1/c (14),1,20,160,1,4.1906,4.214,0,(0;000),0
Na3VF6,ICSD,27347,P2_1/c (14),1,20,164,1,0,0.003,0.034,(0;000),0
Na3TiCl6,ICSD,411050,P2_1/c (14),1,20,162,1,0,0,0.724,(0;000),0
Na3ScF6,ICSD,400723,P2_1/c (14),1,20,160,1,7.041,7.074,0,(0;000),0
Na3ScCl6,ICSD,166749,P2_1/c (14),1,20,160,1,4.0856,4.103,0,(0;000),0
Na3NiF6,ICSD,26073,P2_1/c (14),1,20,158,1,0,0,0.92,(0;000),0
Na3MnF6,COD,4322721,P2_1/c (14),1,20,168,1,0.0114,0.032,0,(0;000),0
Na3CrF6,ICSD,27070,P2_1/c (14),1,20,166,1,0,0,0.617,(0;000),0
Na3BP2,COD,8103467,P2_1/c (14),1,24,160,1,1.861,2.075,0,(0;000),0
Na3BN2,COD,1511245,P2_1/c (14),1,24,160,1,1.7121,1.849,0,(0;000),0
Na3AlF6,COD,9006163,P2_1/c (14),1,20,144,1,6.5845,6.614,0,(0;000),0
Na2ZnO2,ICSD,404761,P2_1/c (14),1,20,168,2,1.5299,1.53,0,(0;000),0
Na2Zn2O3,ICSD,25617,P2_1/c (14),1,14,120,3,1.1217,1.122,0,(0;000),0
Na2TeO3,COD,1524895,P2_1/c (14),1,24,168,1,3.3269,3.384,0,(0;000),0
Na2SnTeO6,ICSD,89017,P2_1/c (14),1,20,148,3,1.5615,1.562,0,(0;000),0
