SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
12,1.0,Nb2Se,ICSD,26183,1.0,12.0,128.0,3.0,0.0,0.015,0.279,(0;111),0.0
12,1.0,NbSb2,ICSD,18144,1.0,6.0,46.0,3.0,0.0,0.029,0.087,(0;100),1.0
12,1.0,NbP2,ICSD,645169,1.0,6.0,46.0,3.0,0.0,0.044,0.088,(0;111),1.0
12,1.0,NaN3,ICSD,29383,1.0,4.0,24.0,1.0,0.0,0.008,0.483,(0;110),0.0
12,1.0,LiMoO2,ICSD,165326,1.0,8.0,58.0,2.0,0.0,0.023,0.825,(0;111),0.0
12,1.0,KLiMnO2,ICSD,49021,1.0,10.0,78.0,1.0,0.0,0.011,0.746,(0;110),0.0
12,1.0,SrIn4,ICSD,240135,1.0,10.0,124.0,3.0,0.0,0.045,0.587,(0;000),0.0
12,1.0,Hf2Te,ICSD,83965,1.0,12.0,120.0,3.0,0.0,0.02,0.842,(0;000),0.0
12,1.0,KCu2P2H3(O4F)2,ICSD,62646,1.0,18.0,106.0,3.0,0.0,0.017,0.015,(0;001),0.0
12,1.0,NaCo2Mo2H3O10,ICSD,422475,1.0,18.0,134.0,3.0,0.0,0.004,0.622,(0;001),0.0
12,1.0,ReGe2,ICSD,637671,1.0,6.0,46.0,3.0,0.0,0.117,0.344,(0;111),1.0
12,1.0,Cs2Na2IrO4,ICSD,71624,1.0,18.0,154.0,3.0,0.0,0.019,0.258,(0;110),0.0
12,1.0,Cr3Te4,ICSD,626884,1.0,7.0,66.0,3.0,0.0,0.009,0.299,(0;000),0.0
12,1.0,TlV3(CrS4)2,ICSD,74296,1.0,14.0,128.0,3.0,0.0,0.006,0.759,(1;000),0.0
12,1.0,Ti(CrS2)2,ICSD,626640,1.0,7.0,64.0,3.0,0.0,0.014,0.455,(0;110),0.0
12,1.0,Cr2FeS4,ICSD,625931,1.0,7.0,60.0,3.0,0.0,0.012,0.344,(0;111),0.0
12,1.0,CrS2,ICSD,75420,1.0,3.0,26.0,2.0,0.0,0.051,0.157,(0;100),1.0
12,1.0,Cr(Te2Rh)2,ICSD,626579,1.0,7.0,72.0,3.0,0.0,0.042,0.404,(0;111),0.0
12,1.0,Cr(RhSe2)2,ICSD,626577,1.0,7.0,72.0,3.0,0.0,0.013,0.349,(0;111),0.0
12,1.0,Co2NiSe4,ICSD,624485,1.0,7.0,68.0,3.0,0.0,0.027,0.522,(0;111),0.0
12,1.0,RbNa7(CoO3)2,ICSD,66006,1.0,16.0,142.0,1.0,0.0,0.013,0.132,(0;001),0.0
12,1.0,Sc2CoSi2,ICSD,624952,1.0,10.0,94.0,3.0,0.0,0.009,0.636,(0;110),0.0
12,1.0,CoGe,ICSD,43677,1.0,8.0,84.0,3.0,0.0,0.012,0.78,(0;000),0.0
12,1.0,CoGe,ICSD,184254,1.0,8.0,52.0,3.0,0.0,0.012,0.761,(0;000),1.0
12,1.0,Nb6C5,ICSD,167353,1.0,11.0,98.0,3.0,0.0,0.012,0.61,(0;110),0.0
12,1.0,Si2Bi2Rh3,ICSD,617015,1.0,14.0,178.0,3.0,0.0,0.035,0.679,(0;001),0.0
12,1.0,Bi2Rh3S2,ICSD,420725,1.0,14.0,186.0,3.0,0.0,0.021,0.395,(0;001),0.0
12,1.0,Bi2Pd3Se2,ICSD,261457,1.0,14.0,192.0,3.0,0.0,0.096,0.791,(0;110),0.0
12,1.0,BiI,ICSD,1559,1.0,8.0,48.0,1.0,0.139,0.161,0.0,(0;001),0.0
12,1.0,BiBr,ICSD,1560,1.0,16.0,96.0,2.0,0.3125,0.313,0.0,(0;000),0.0
12,1.0,Ba2Ni5Ge4,ICSD,423268,1.0,11.0,86.0,1.0,0.0,0.011,0.901,(0;111),0.0
12,1.0,BaYMn2O6,ICSD,154011,1.0,20.0,174.0,3.0,0.0,0.004,0.75,(0;001),0.0
12,1.0,YB2Rh3,ICSD,615340,1.0,6.0,68.0,3.0,0.0,0.013,0.452,(0;000),0.0
12,1.0,Ba3(ZnAs2)2,ICSD,424760,1.0,9.0,74.0,3.0,0.0,0.022,0.024,(0;110),0.0
12,1.0,Ba3(CdAs2)2,ICSD,424761,1.0,9.0,74.0,3.0,0.0,0.019,0.025,(0;110),0.0
12,1.0,As3W2,ICSD,43185,1.0,10.0,142.0,3.0,0.0,0.009,0.309,(0;111),0.0
12,1.0,Mo2As3,ICSD,43184,1.0,10.0,86.0,3.0,0.0,0.017,0.254,(0;111),0.0
12,1.0,VAs2,ICSD,611574,1.0,6.0,46.0,3.0,0.0,0.02,0.148,(0;111),1.0
12,1.0,TaAs2,ICSD,44069,1.0,6.0,46.0,3.0,0.0,0.122,0.088,(0;111),1.0
12,1.0,Ni2As2O7,ICSD,69002,1.0,11.0,72.0,3.0,0.0,0.019,0.427,(0;001),0.0
12,1.0,NbAs2,ICSD,81218,1.0,6.0,46.0,3.0,0.0,0.025,0.093,(0;100),1.0
12,1.0,Ba2Mn2As2O,ICSD,75454,1.0,7.0,66.0,1.0,0.0,0.012,0.629,(0;111),0.0
12,1.0,AsN(OF3)2,ICSD,68906,1.0,10.0,64.0,2.0,0.0,0.004,0.358,(0;001),0.0
12,2.0,Sb2Te3,ICSD,187496,1.0,10.0,56.0,3.0,0.0,0.028,1.0,(1;111),0.0
12,2.0,Sc2Si2Ru,ICSD,420133,1.0,10.0,92.0,3.0,0.0,0.002,0.445,(0;001),0.0
12,2.0,Ta2PtSe7,ICSD,61353,1.0,20.0,156.0,2.0,0.0,0.012,0.258,(1;000),0.0
12,2.0,Ta2PdSe6,ICSD,61005,1.0,9.0,80.0,3.0,0.0,0.026,0.245,(1;110),0.0
12,2.0,Ni2P2O7,ICSD,30433,1.0,11.0,72.0,3.0,0.0,0.006,0.545,(1;000),0.0
12,2.0,V2NiSe4,ICSD,23970,1.0,7.0,60.0,3.0,0.0,0.024,0.362,(1;110),0.0
12,2.0,V4NiS8,ICSD,35141,1.0,13.0,110.0,3.0,0.0,0.005,0.292,(1;111),0.0
12,2.0,V2NiS4,ICSD,646403,1.0,7.0,60.0,3.0,0.0,0.023,0.308,(1;110),0.0
12,2.0,Ti2NiS4,ICSD,646394,1.0,7.0,58.0,3.0,0.0,0.006,0.362,(1;111),0.0
12,2.0,Nb2Te3,ICSD,280016,1.0,10.0,88.0,3.0,0.0,0.017,0.376,(1;000),0.0
12,2.0,Nb2PdS5,ICSD,192215,1.0,16.0,148.0,3.0,0.0,0.035,0.342,(1;001),0.0
12,2.0,LiTi2O4,ICSD,180011,1.0,14.0,102.0,3.0,0.0,0.003,0.478,(1;001),0.0
12,2.0,Hg,ICSD,157861,1.0,3.0,36.0,3.0,0.0,0.036,0.401,(1;000),0.0
12,2.0,LiHO2,ICSD,27761,1.0,8.0,32.0,1.0,0.0,0.008,0.718,(1;111),0.0
12,2.0,Fe3Se4,ICSD,15043,1.0,7.0,48.0,3.0,0.0,0.011,0.357,(0;000),1.0
12,2.0,Sc2FeSi2,ICSD,76348,1.0,10.0,76.0,3.0,0.0,0.013,0.449,(1;000),0.0
12,2.0,Fe(RhSe2)2,ICSD,603354,1.0,7.0,66.0,3.0,0.0,0.015,0.586,(1;111),0.0
12,2.0,Fe(NiSe2)2,ICSD,632972,1.0,7.0,52.0,3.0,0.0,0.038,0.621,(1;111),0.0
12,2.0,FeGe,ICSD,53456,1.0,8.0,48.0,3.0,0.0,0.009,0.876,(1;110),0.0
12,2.0,FeGe,ICSD,43055,1.0,8.0,48.0,3.0,0.0,0.008,0.869,(1;011),1.0
12,2.0,Sr(CuSn)2,ICSD,182102,1.0,5.0,60.0,3.0,0.0,0.06,0.604,(1;000),0.0
12,2.0,Na2Zr(CuS2)2,ICSD,79536,1.0,9.0,68.0,1.0,0.0,0.012,0.006,(1;000),0.0
12,2.0,Cr3Te4,ICSD,626873,1.0,7.0,66.0,2.0,0.0,0.012,0.181,(1;000),0.0
12,2.0,RbCr3S5,ICSD,73143,1.0,18.0,162.0,3.0,0.0,0.001,0.672,(1;000),0.0
12,2.0,Ti(CrTe2)2,ICSD,626896,1.0,7.0,64.0,3.0,0.0,0.014,0.31,(1;000),0.0
12,2.0,V2CrS4,ICSD,626655,1.0,7.0,64.0,3.0,0.0,0.015,0.549,(1;110),0.0
12,2.0,Nb4Co2PdSe12,ICSD,41026,1.0,19.0,176.0,3.0,0.0,0.005,0.031,(1;001),0.0
12,2.0,K2Ca(NO2)4,ICSD,85505,1.0,15.0,96.0,1.0,0.0,0.009,0.648,(1;001),0.0
12,2.0,Ca(CuSn)2,ICSD,417717,1.0,5.0,60.0,3.0,0.0,0.067,0.632,(1;000),0.0
12,2.0,Y2Fe2Si2C,ICSD,617825,1.0,7.0,50.0,3.0,0.0,0.038,0.222,(1;000),0.0
12,2.0,Fe11Mo6C5,ICSD,61141,1.0,22.0,192.0,3.0,0.0,0.004,0.608,(1;110),0.0
